,AIC,R2,RMSE,formula
0,728.8879925824572,0.13390129638550186,30.30398315481068,Ozone ~ SolarR 
1,700.8119454405775,0.30822967169465487,27.083013530678503,Ozone ~  Wind 
2,693.2102244258207,0.8169011794775437,13.933454219140284,Ozone ~  Temp 
3,742.2515037537662,0.006169489774503489,32.461769099143844,Ozone ~  Month 
4,741.6706615143362,-0.17160528997291702,35.24574408961216,Ozone ~  Day
5,678.1899357383206,0.41530271080483216,24.89898031271684,Ozone ~ SolarR +  Wind 
6,687.4265554252936,0.8228310254661817,13.705972539820424,Ozone ~ SolarR +  Temp 
7,727.7032868128699,0.2195553756351939,28.76650288993094,Ozone ~ SolarR +  Month 
8,729.1736402110614,0.03811991197917863,31.935703599265988,Ozone ~ SolarR +  Day
9,673.3086316483489,0.7671031850048919,15.71439973470237,Ozone ~ Wind +  Temp 
10,702.3620580876532,0.28191953604624953,27.593232314111713,Ozone ~ Wind +  Month 
11,700.8786004090158,0.22000173463654238,28.7582755131602,Ozone ~ Wind +  Day
12,691.1908632776313,0.8452395147578196,12.809909543734449,Ozone ~ Temp +  Month 
13,692.8004216077545,0.7473753576657749,16.366426989988977,Ozone ~ Temp +  Day
14,742.0920563981396,-0.13638845572566471,34.71198330409316,Ozone ~ Month + Day
15,660.5923193720296,0.730221254422367,16.91297033446976,Ozone ~ SolarR + Wind +  Temp 
16,680.1989123521244,0.40225028788888784,25.175361153580408,Ozone ~ SolarR + Wind +  Month 
17,678.3582756607796,0.35888020847506696,26.072676347430786,Ozone ~ SolarR + Wind +  Day
18,686.7665687521396,0.8333517623825157,13.292797358443961,Ozone ~ SolarR + Temp +  Month 
19,686.6811515277211,0.7560511040232012,16.08294031082487,Ozone ~ SolarR + Temp +  Day
20,686.6811515277211,0.7560511040232012,16.08294031082487,Ozone ~ SolarR + Temp + Day
21,668.1198268186877,0.7721765156340727,15.54229924772708,Ozone ~ Wind + Temp +  Month 
22,672.7185775035003,0.7171930275883853,17.31653830403822,Ozone ~ Wind + Temp +  Day
23,690.1090441449015,0.7614648607254884,15.903481362030938,Ozone ~ Temp + Month + Day
24,702.3651509183223,0.192656694673068,29.25803437461031,Ozone ~ Wind + Month + Day
25,657.2247994770812,0.7175661907914925,17.30510996500753,Ozone ~ SolarR + Wind + Temp + Month
26,659.8062984626936,0.689731794696582,18.137802074760145,Ozone ~ SolarR + Wind + Temp + Day
27,680.3484391582326,0.3455388353928672,26.34255903845546,Ozone ~ SolarR + Wind + Month + Day
28,685.499003937291,0.7589861100077921,15.98589874481246,Ozone ~ SolarR + Temp + Month + Day
29,666.7411145656042,0.7191563460357779,17.256325696810112,Ozone ~ Wind + Temp + Month + Day
30,655.7746805678823,0.6795372855769901,18.433371471492897,Ozone ~ SolarR + Wind + Temp + Month + Day
